Sample Size,evaluation,verification
30,6.106144428253174,4.006247520446777
30,5.8561084270477295,3.955930471420288
30,5.792524337768555,3.8839523792266846
30,5.777590274810791,3.647287607192993
30,5.4798970222473145,3.8972160816192627
30,5.663023948669434,3.5192630290985107
30,5.562270879745483,3.5792438983917236
30,5.5998828411102295,3.7852957248687744
30,5.529850482940674,3.7853965759277344
30,5.723876237869263,3.5047545433044434
40,7.056607723236084,4.7301836013793945
40,7.162777423858643,4.754450082778931
40,7.1734020709991455,4.810852527618408
40,7.05267596244812,4.522921323776245
40,7.191928386688232,4.600149631500244
40,6.972120523452759,4.414633274078369
40,7.224019765853882,4.606889724731445
40,6.913674831390381,4.752951622009277
40,7.305091381072998,4.8409693241119385
40,7.337546348571777,4.8777687549591064
50,9.302068710327148,6.570953845977783
50,9.340792417526245,6.164492130279541
50,9.262266874313354,6.097439765930176
50,9.318294763565063,6.068915605545044
50,9.235623598098755,6.158544301986694
50,9.355913639068604,6.151013135910034
50,9.135727167129517,6.325720548629761
50,9.18726921081543,6.004136323928833
50,9.189493894577026,6.071397066116333
50,9.413968563079834,6.156025409698486
60,10.768781185150146,7.084193706512451
60,10.682891845703125,6.761536598205566
60,10.763009071350098,7.313053846359253
60,10.81166672706604,7.212990045547485
60,10.81294870376587,7.09801459312439
60,10.862835884094238,7.152352333068848
60,11.030019044876099,7.236671686172485
60,11.170281887054443,7.124626159667969
60,10.646606206893921,6.731693267822266
60,10.443100214004517,6.8477935791015625
70,11.845674991607666,7.800948143005371
70,11.782631635665894,7.682965517044067
70,12.149255752563477,7.71882700920105
70,12.231225490570068,7.879130840301514
70,11.689929962158203,7.418602705001831
70,11.827755451202393,7.614461421966553
70,12.125222206115723,8.100975275039673
70,11.743320226669312,7.885440826416016
70,12.310290098190308,8.074798345565796
70,12.341397285461426,8.117380142211914
80,13.966354370117188,8.922937154769897
80,13.959258794784546,9.058456897735596
80,13.912451267242432,9.678889036178589
80,13.638061046600342,8.945709228515625
80,13.54776382446289,9.039611577987671
80,13.678684949874878,8.903873205184937
80,12.9548819065094,9.024598836898804
80,14.201548099517822,9.007311820983887
80,13.578185796737671,8.984936475753784
80,13.60038447380066,9.092256784439087
90,15.8510422706604,10.206789255142212
90,15.16834831237793,9.805836200714111
90,15.963403940200806,10.58415937423706
90,16.026551485061646,10.13617753982544
90,15.139590740203857,10.15799856185913
90,15.80059003829956,10.317549228668213
90,15.161128282546997,10.076073408126831
90,15.61686372756958,10.161726236343384
90,15.669555902481079,10.21189832687378
90,15.4970223903656,10.4643235206604
100,16.893910884857178,11.394535541534424
100,17.169837474822998,12.125181913375854
100,16.972995042800903,11.206583976745605
100,16.827463388442993,11.260058641433716
100,17.056434631347656,11.203920841217041
100,16.90680241584778,11.279398918151855
100,17.055774450302124,11.163654804229736
100,17.280603170394897,11.562440872192383
100,17.235636711120605,11.094398498535156
100,16.747026920318604,11.25398325920105
